"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","TARIFDATENQUELLE","TARIFTAXPUNKTTYP","VERSION","LASTMUTATION","DELIVERYID","TAEL_ID","DRGLWOUTLINRSF1","DRGLWOUTLINRSF2","ITSANALOGIETARIF","SPALBRTETARZIF","TARIFTEXTMAPPING","ITSKOGUZEITRMENHT","TIMESEG","ARCHIVETAG","MDBID","ANALOGIEZIFFERATTR"
-3,"-3",-608,2014-01-16 15:20:55.765302000,"CASU","",1900-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,"admin","admin",2014-01-16 15:20:55.765302000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGel","MiGel","MiGel","MA","moy.app.","452","MiGel","","","","","","","","","","","","","452","-10110","-53801","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
-2,"-2",-608,2014-01-16 15:20:55.943834000,"CASU","",1900-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,"admin","admin",2014-01-16 15:20:55.943834000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","GalData","GD","GalData","GALD","GalData","400","GalData","","","","","","","","","","","","","400","-10110","-53801","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
21,"21",-608,2014-03-10 11:35:22.335176000,"B.381","",2014-03-10 10:36:11.013595000,2014-03-10 10:36:11.013595000,"CHaegele","CHaegele",2014-03-10 11:35:22.335176000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"011","Zusatzentgelte-Katalog (SwissDRG)","011","Zusatzentgelte-Katalog (SwissDRG)","011","Rémunérations supplémentaires (SwissDRG)","011","Compensi supplementi (SwissDRG)","","","","","","","","","","","","","011","-10110","-53801","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
23,"22",-608,2014-03-10 10:58:42.112610000,"B.382","",2014-03-10 10:56:53.111126000,2014-03-10 10:56:53.111126000,"CHaegele","CHaegele",2014-03-10 10:58:42.112610000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,1406,,,,"",0,"","",3000-01-01,"","",""
24,"22",-608,2014-03-10 11:27:04.391112000,"B.383","",2014-03-10 10:58:42.112610000,2014-03-10 10:58:42.112610000,"CHaegele","CHaegele",2014-03-10 11:27:04.391112000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,1406,8917486,,,"",0,"","",3000-01-01,"","",""
29,"21",-608,2016-07-23 10:18:29.087236000,"B.391","",2014-03-10 11:42:37.864581000,2014-03-10 11:42:37.864581000,"CHaegele","CHaegele",2016-07-23 10:18:29.087236000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"011","Zusatzentgelte-Katalog (SwissDRG)","011","Zusatzentgelte-Katalog (SwissDRG)","011","Rémunérations supplémentaires (SwissDRG)","011","Compensi supplementi (SwissDRG)","","","","","","","","","","","","","011","-10110","-53801","-53853","",,2086,8841150,,,"",0,"","",3000-01-01,"","",""
101,"-2",-608,2014-05-14 13:34:02.426770000,"P.-31002","",2014-05-13 09:55:58.579773000,2014-05-13 09:55:58.579773000,"SWangler","SWangler",2014-05-14 13:34:02.426770000,"SWangler",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,,6024341,,,"",0,"","",3000-01-01,"","",""
1,"1",-608,2014-01-16 15:22:07.832932000,"B.101","",2014-01-16 15:20:55.613458000,2014-01-16 15:20:55.613458000,"CHaegele","CHaegele",2014-01-16 15:22:07.832932000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"553","Tarif f¿r ambulante physiotherapeutische Leistungen in Spit¿lern (H+)","553","Tarif f¿r ambulante physiotherapeutische Leistungen in Spit¿lern (H+)","553","Tarif f¿r ambulante physiotherapeutische Leistungen in Spit¿lern (H+)","553","Tarif f¿r ambulante physiotherapeutische Leistungen in Spit¿lern (H+)","","","","","","","","","","","","","553","-10110","-53801","-62839","",,,5009958,,,"",0,"","-50612",3000-01-01,"","",""
13,"-6",-608,2016-07-23 10:18:29.204183000,"B.102","",2014-01-16 15:24:24.908263000,2014-01-16 15:24:24.908263000,"CHaegele","CHaegele",2016-07-23 10:18:29.204183000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"001","Tarmed","001","Tarmed","001","Tarmed","001","Tarmed","","","","","","","","","","","","","001","-10110","-53801","-53852","",,1559,7929025,,,"",0,"","",3000-01-01,"","",""
14,"3",-608,2016-07-23 10:18:29.322479000,"B.103","",2014-01-16 15:34:57.554492000,2014-01-16 15:34:57.554492000,"CHaegele","CHaegele",2016-07-23 10:18:29.322479000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","","","","","","","","","","","","","010","-10110","-53800","-62764","",,1566,8703200,2,0.75,"",0,"","",3000-01-01,"","",""
15,"2",-608,2014-01-16 15:41:46.482059000,"B.104","",2014-01-16 15:36:33.520034000,2014-01-16 15:36:33.520034000,"CHaegele","CHaegele",2014-01-16 15:41:46.482059000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","","","","","","","","","","","","","320","-10110","-53801","-53851","",,967,,,,"",0,"","",3000-01-01,"","",""
16,"-3",-608,2016-07-23 10:18:29.210355000,"B.105","",2014-01-16 15:37:13.535078000,2014-01-16 15:37:13.535078000,"CHaegele","CHaegele",2016-07-23 10:18:29.210355000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","","","","","","","","","","","","","452","-10110","-53801","-53853","",,1506,7483302,,,"",13,"","",3000-01-01,"","",""
17,"1",-608,2014-01-16 15:38:57.368348000,"B.106","",2014-01-16 15:38:57.368348000,2014-01-16 15:38:57.368348000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","","","","","","","","","","","","","553","-10110","-53801","-62839","",,722,5009958,,,"",0,"","-50612",3000-01-01,"","",""
18,"2",-608,2014-01-16 15:41:46.482059000,"B.108","",2014-01-16 15:41:46.482059000,2014-01-16 15:41:46.482059000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","","","","","","","","","","","","","320","-10110","-53801","-53851","",,967,7972971,,,"",0,"","",3000-01-01,"","",""
81,"-2",-608,2014-05-13 09:55:58.579773000,"B.521","",2014-05-06 10:11:26.515353000,2014-05-06 10:11:26.515353000,"SWangler","SWangler",2014-05-13 09:55:58.579773000,"SWangler",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,1666,6024341,,,"",0,"","",3000-01-01,"","",""
2,"-3",-608,2014-01-16 15:21:35.077182000,"B.101","",2014-01-16 15:20:55.765302000,2014-01-16 15:20:55.765302000,"CHaegele","CHaegele",2014-01-16 15:21:35.077182000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGeL: ab 2001 (Mittel und Gegenst¿nde Liste)","452","MiGeL: ab 2001 (Mittel und Gegenst¿nde Liste)","452","MiGeL: ab 2001 (Mittel und Gegenst¿nde Liste)","452","MiGeL: ab 2001 (Mittel und Gegenst¿nde Liste)","","","","","","","","","","","","","452","-10110","-53801","-53853","",,1506,7483302,,,"",13,"","",3000-01-01,"","",""
3,"2",-608,2014-01-16 15:36:33.520034000,"B.101","",2014-01-16 15:20:55.859682000,2014-01-16 15:20:55.859682000,"CHaegele","CHaegele",2014-01-16 15:36:33.520034000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","320","Zahnarzt-Tarif PP (SSO)","","","","","","","","","","","","","320","-10110","-53801","-53851","",,,,,,"",0,"","",3000-01-01,"","",""
4,"-2",-608,2014-01-16 15:22:55.153513000,"B.101","",2014-01-16 15:20:55.943834000,2014-01-16 15:20:55.943834000,"CHaegele","CHaegele",2014-01-16 15:22:55.153513000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,1532,6024341,,,"",0,"","",3000-01-01,"","",""
5,"-6",-608,2014-01-16 15:23:19.013136000,"B.101","",2014-01-16 15:20:56.027697000,2014-01-16 15:20:56.027697000,"CHaegele","CHaegele",2014-01-16 15:23:19.013136000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"001","Tarmed","001","Tarmed","001","Tarmed","001","Tarmed","","","","","","","","","","","","","001","-10110","-53801","-53852","",,1228,7929025,,,"",0,"","",3000-01-01,"","",""
6,"3",-608,2014-01-16 15:23:09.471091000,"B.101","",2014-01-16 15:20:56.114374000,2014-01-16 15:20:56.114374000,"CHaegele","CHaegele",2014-01-16 15:23:09.471091000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","","","","","","","","","","","","","010","-10110","-53800","-62764","",,1446,8703200,2,0.75,"",0,"","",3000-01-01,"","",""
41,"41",-608,2014-06-24 12:55:56.635249000,"P.-31001","",2014-04-14 15:35:18.964722000,2014-04-14 15:35:18.964722000,"CHaegele","CHaegele",2014-06-24 12:55:56.635249000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"ZU1","Zusatzleistungen VVG","ZU1","Zusatzleistungen VVG","ZU1","Zusatzleistungen VVG","ZU1","Zusatzleistungen VVG","","","","","","","","","","","","","TT_ZU1","-10110","-53800","-53853","1",,,,,,"",10,"","",3000-01-01,"","",""
61,"61",-608,2016-07-23 10:18:29.292995000,"P.-31001","",2014-04-25 10:45:50.583864000,2014-04-25 10:45:50.583864000,"JHartmann","JHartmann",2016-07-23 10:18:29.292995000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"590","Alternative Heilmethoden","590","Alternative Heilmethoden","590","Alternative Heilmethoden","590","Alternative Heilmethoden","","","","","","","","","","","","","590","-10110","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
161,"41",-608,2016-07-17 23:46:39.724725000,"P.-31002","",2014-06-24 12:55:56.635249000,2014-06-24 12:55:56.635249000,"CHaegele","CHaegele",2016-07-17 23:46:39.724725000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","ZU1","Kostenart-Tarif Zusatzleistungen","","","","","","","","","","","","","TT_ZU1","-10110","-53800","-53853","1",,,,,,"",10,"","",3000-01-01,"","",""
26,"22",-608,2016-07-23 10:18:29.344440000,"B.387","",2014-03-10 11:33:15.404929000,2014-03-10 11:33:15.404929000,"CHaegele","CHaegele",2016-07-23 10:18:29.344440000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,1830,8917486,,,"",0,"","",3000-01-01,"","",""
27,"21",-608,2014-03-10 11:36:27.357907000,"B.389","",2014-03-10 11:35:22.335176000,2014-03-10 11:35:22.335176000,"CHaegele","CHaegele",2014-03-10 11:36:27.357907000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"011","Zusatzentgelte-Katalog (SwissDRG)","011","Zusatzentgelte-Katalog (SwissDRG)","011","Rémunérations supplémentaires (SwissDRG)","011","Compensi supplementi (SwissDRG)","","","","","","","","","","","","","011","-10110","-53801","-53853","",,1447,,,,"",0,"","",3000-01-01,"","",""
28,"21",-608,2014-03-10 11:42:37.864581000,"B.390","",2014-03-10 11:36:27.357907000,2014-03-10 11:36:27.357907000,"CHaegele","CHaegele",2014-03-10 11:42:37.864581000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"011","Zusatzentgelte-Katalog (SwissDRG)","011","Zusatzentgelte-Katalog (SwissDRG)","011","Rémunérations supplémentaires (SwissDRG)","011","Compensi supplementi (SwissDRG)","","","","","","","","","","","","","011","-10110","-53801","-53853","",,1447,8841150,,,"",0,"","",3000-01-01,"","",""
25,"22",-608,2014-03-10 11:33:15.404929000,"B.385","",2014-03-10 11:27:04.391112000,2014-03-10 11:27:04.391112000,"CHaegele","CHaegele",2014-03-10 11:33:15.404929000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,1775,8917486,,,"",0,"","",3000-01-01,"","",""
181,"101",-608,2016-08-08 14:57:27.577185000,"P.-31001","",2016-03-21 10:23:54.878250000,2016-03-21 10:23:54.878250000,"VTricarico","VTricarico",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"GOT","Gebührenordnung für Tierärzte","GOT","Gebührenordnung für Tierärzte","GOT","Gebührenordnung für Tierärzte","GOT","Gebührenordnung für Tierärzte","","","","","","","","","","","","","GOT","-10110","-53800","-65307","",,,,,,"",0,"","",3000-01-01,"","",""
705,"560",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.352755000,2016-07-23 10:18:29.352755000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"957","Pflegeheim CH Index RAI/RUG 12 Pflege- und Vollpauschalen","957","Pflegeheim CH Index RAI/RUG 12 Pflege- und Vollpauschalen","957","Pflegeheim CH Index RAI/RUG 12 Pflege- und Vollpauschalen","957","Pflegeheim CH Index RAI/RUG 12 Pflege- und Vollpauschalen","","","","","","","","","","","","","957","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
706,"561",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.357056000,2016-07-23 10:18:29.357056000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"959","Fribourg 4 Stufen","959","Fribourg 4 Stufen","959","Fribourg 4 Stufen","959","Fribourg 4 Stufen","","","","","","","","","","","","","959","-10110","-53800","-53853","",,,,,,"",0,"","-50612",3000-01-01,"","",""
707,"562",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.360695000,2016-07-23 10:18:29.360695000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"806","APDRG: cost-weight version 6","806","APDRG: cost-weight version 6","806","APDRG: cost-weight version 6","806","APDRG: cost-weight version 6","","","","","","","","","","","","","806","-10110","-53801","-49989","",,,7510795,2,0.75,"",0,"","",3000-01-01,"","",""
708,"563",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.364711000,2016-07-23 10:18:29.364711000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"805","APDRG: cost-weight version 5","805","APDRG: cost-weight version 5","805","APDRG: cost-weight version 5","805","APDRG: cost-weight version 5","","","","","","","","","","","","","805","-10110","-53801","-49989","",,,7982032,2,0.75,"",0,"","",3000-01-01,"","",""
709,"564",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.368512000,2016-07-23 10:18:29.368512000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"920","Spitaltarif für stationäre Leistungen nach KVG","920","Spitaltarif für stationäre Leistungen nach KVG","920","Spitaltarif für stationäre Leistungen nach KVG","920","Spitaltarif für stationäre Leistungen nach KVG","","","","","","","","","","","","","920","-10110","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
710,"565",-608,2016-08-08 14:57:27.577185000,"P.-255612","",2016-07-23 10:18:29.372360000,2016-07-23 10:18:29.372360000,"FStofer","FStofer",2016-08-08 14:57:27.577185000,"DHaramincic",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"930","Spitaltarif für stationäre Leistungen nach VVG","930","Spitaltarif für stationäre Leistungen nach VVG","930","Spitaltarif für stationäre Leistungen nach VVG","930","Spitaltarif für stationäre Leistungen nach VVG","","","","","","","","","","","","","930","-10110","-53801","-53853","",,,8989490,,,"",0,"","",3000-01-01,"","",""
