"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","SYSTEM_","ITSCOKOKATEGORIE","TIMESEG","ARCHIVETAG","MDBID"
-50668,"-50668",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RgtTyp","Schutztyp","PrtTyp","Protection type","TypePr","Type de protection","TipPro","Genere di protezione","","Schutztyp","","","","","","","","","","","RightsSchutzTyp","1","",,"",""
-50669,"-50669",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RgtUpd","Update-Modus","UpdMod","Update mode","Moma","Mode de mise à jour","ModAgg","Modalità di aggiornamento","","Update-Modus","","","","","","","","","","","RightsUpdateMode","1","",,"",""
-6070,"-6070",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RPRRES","Resultat Risiko Prüfung","RPRRES","Result risk check","RESERI","Résultat de l'examen du risque","RERISC","Risultato dell'esame del rischio","","Resultat Risiko Prüfung","","","","","","","","","","","RisikoPruefResult","1","",,"",""
-50340,"-50340",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RisZwi","RisikoZwingend","RisZwi","Risk mandatory","Oblig","RisqueObligatoire","RisZwi","Obbligatorio per rischi","","RisikoZwingend","","","","","","","","","","","RisikoZwingend","1","",,"",""
-9800,"-9800",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RskGrp","Risikogruppen","RskGrp","Risk groups","RskGrp","Groupes à risque","GrRisc","Gruppi di rischio","","Risikogruppen","","","","","","","","","","","Risikogruppen","0","",,"",""
-50332,"-50332",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RoleTy","RoleType","RoleTy","RoleType","RoleTy","Rôle type","RoleTy","Tipo di regola","","RoleType","","","","","","","","","","","RoleType","1","",,"",""
-50230,"-50230",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RSTDT","Rechnungssteller Abrechnung Datum Typ","IPIDT","Invoicing party; invoicing date type","EMDDT","Emetteur de facture décompte date type","RSTDT","Tipo di data di conteggio emittente la fattura","","Rechnungssteller Abrechnung Datum Typ","","","","","","","","","","","RstAbrechDatTyp","1","",,"",""
-11250,"-11250",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RstHer","Rückstellungherkunft","RstHer","Value adjustment source","OrProv","Origine de la provision","OrigRi","Origine del rimborso","","Rückstellungherkunft","","","","","","","","","","","RstHerkunft","1","",,"",""
-11270,"-11270",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RESBER","RstMutNeuBerechnen","RESBER","Recalculate RstMut","DENPO","Décompter à nouveau mut. Prov","CALCRI","Nuovo calcolo modifica rimborso","","RstMutNeuBerechnen","","","","","","","","","","","RstMutNeuBerechnen","1","",,"",""
-11040,"-11040",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RSTSPT","RstSplitTyp","RSTSPT","RstSplitTyp","RSTSPT","RstSplitTyp","RIPRIM","Tipo ripartizione rimborso","","RstSplitTyp","","","","","","","","","","","RstSplitTyp","1","",,"",""
-11240,"-11240",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RstVor","Rückstellungsvorgang","RstVor","Value adjustment process","ProPr","Procédé de provision","ProcRi","Procedura di rimborso","","Rückstellungsvorgang","","","","","","","","","","","RstVorgang","1","",,"",""
-9470,"-9470",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RcfJN","Rueckfall","RcfJN","Relapse","Rch","Rechute","Ricad","Ricaduta","","Rueckfall","","","","","","","","","","","RueckfallJN","1","",,"",""
-9455,"-9455",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RcKJN","Rückstellung","RcKJN","Value adjustment","Prov","Provision","Restit","Restituzione","","Rückstellung","","","","","","","","","","","RueckstellungJN","1","",,"",""
-10850,"-10850",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RstTyp","Rückstellungstyp","ValAdj","Value adjustment type","TypPro","Type de provision","TipRes","Tipo di restituzione","","Rückstellungstyp","","","","","","","","","","","Rueckstellungstyp","1","",,"",""
-50805,"-50805",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","LBL_AU","Labels für Aufgabenbeschreibung Rückwirkende Vertragsände-rungen","LBL_TD","Labels for task designations retrospective policy changes","LBL_DT","Label descr. de la tâche modif. rétroact. du cont.","LBL_DC","Etichette per la descrizione dei compiti con modifiche retroattive del contratto","","Labels für Aufgabenbeschreibung Rückwirkende Vertragsände-rungen","","","","","","","","","","","RueckwVertragsaenderungLabels","0","",,"",""
-50803,"-50803",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","MUTGR","Mutationsgrund","MUTRS","Mutation Reason","MOTMUT","Motif de la mutation","MOTMOD","Motivo di modifica","","Änderungsgrund","","","","","","","","","","","RueckwVertragsaenderungMutgrund","0","",,"",""
-50804,"-50804",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","MUTUC","Use Case","MUTUC","Use Case","CAUT","Cas d'utilisation","MUTCU","Caso d'uso","","Use Case","","","","","","","","","","","RueckwVertragsaenderungUseCase","0","",,"",""
-7190,"-7190",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RUETYP","Rueckzahlungtyp","RUETYP","Repayment type","TYPREM","Type de remboursement","TipRim","Tipo di rimborso","","Rueckzahlungtyp","","","","","","","","","","","RueckzahlungTyp","1","",,"",""
-500115,"-500115",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Rundun","Rundungsmechanismus VeKa-Gültigkeit","RoundM","Rounding system VeKa validity","Arrond","Mécanisme de l'arrondi validité VeKa","Rundun","Meccanismo di arrotondamento della validità CaPA","","Rundungsmechanismus VeKa-Gültigkeit","","","","","","","","","","","RunVeKaGueltigkeit","1","",,"",""
-5200,"-5200",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Rundun","Rundungsart","RoundM","Rounding method","Arron","Genre d'arrondi","Arrot","Genere d'arrotondamento","","Rundungsart","","","","","","","","","","","Rundungsart","1","",,"",""
808,"710",-9,2015-07-22 21:16:17.827419000,"P.-254007","",2015-07-22 21:16:17.827419000,"PMueller",3000-01-01 00:00:00.000000000,"","U_RIGR","Unfall Risikogruppe","U_RIGR","Unfall Risikogruppe","U_RIGR","Unfall Risikogruppe","U_RIGR","Unfall Risikogruppe","","","","","","","","","","","","","CT_U_RIGR","0","",3000-01-01,"",""
809,"711",-9,2015-07-22 21:16:26.372348000,"P.-254007","",2015-07-22 21:16:26.372348000,"PMueller",3000-01-01 00:00:00.000000000,"","U_VEZW","Unfall Versicherungszweig","U_VEZW","Unfall Versicherungszweig","U_VEZW","Unfall Versicherungszweig","U_VEZW","Unfall Versicherungszweig","","","","","","","","","","","","","CT_U_VEZW","0","",3000-01-01,"",""
810,"712",-9,2015-07-22 21:19:38.713538000,"P.-254007","",2015-07-22 21:19:38.713538000,"PMueller",3000-01-01 00:00:00.000000000,"","U_VEKT","Unfall Verletzter Körperteil SSUV","U_VEKT","Unfall Verletzter Körperteil SSUV","U_VEKT","Unfall Verletzter Körperteil SSUV","U_VEKT","Unfall Verletzter Körperteil SSUV","","","","","","","","","","","","","CT_U_VEKT","0","",3000-01-01,"",""
811,"713",-9,2015-07-22 21:26:45.986200000,"P.-254007","",2015-07-22 21:26:45.986200000,"PMueller",3000-01-01 00:00:00.000000000,"","U_STBE","Unfall Stellung im Beruf SSUV","U_STBE","Unfall Stellung im Beruf SSUV","U_STBE","Unfall Stellung im Beruf SSUV","U_STBE","Unfall Stellung im Beruf SSUV","","","","","","","","","","","","","CT_U_STBE","0","",3000-01-01,"",""
812,"714",-9,2015-07-22 21:26:51.441819000,"P.-254007","",2015-07-22 21:26:51.441819000,"PMueller",3000-01-01 00:00:00.000000000,"","U_AREI","Unfall Arbeitseinsatz SSUV","U_AREI","Unfall Arbeitseinsatz SSUV","U_AREI","Unfall Arbeitseinsatz SSUV","U_AREI","Unfall Arbeitseinsatz SSUV","","","","","","","","","","","","","CT_U_AREI","0","",3000-01-01,"",""
813,"715",-9,2015-07-22 21:26:54.340221000,"P.-254007","",2015-07-22 21:26:54.340221000,"PMueller",3000-01-01 00:00:00.000000000,"","U_ARVE","Unfall Arbeitsverhältnis SSUV","U_ARVE","Unfall Arbeitsverhältnis SSUV","U_ARVE","Unfall Arbeitsverhältnis SSUV","U_ARVE","Unfall Arbeitsverhältnis SSUV","","","","","","","","","","","","","CT_U_ARVE","0","",3000-01-01,"",""
814,"716",-9,2015-07-22 21:26:58.258576000,"P.-254007","",2015-07-22 21:26:58.258576000,"PMueller",3000-01-01 00:00:00.000000000,"","U_SFAR","Unfall Schadenfallart SSUV","U_SFAR","Unfall Schadenfallart SSUV","U_SFAR","Unfall Schadenfallart SSUV","U_SFAR","Unfall Schadenfallart SSUV","","","","","","","","","","","","","CT_U_SFAR","0","",3000-01-01,"",""
815,"717",-9,2015-07-22 21:27:04.916639000,"P.-254007","",2015-07-22 21:27:04.916639000,"PMueller",3000-01-01 00:00:00.000000000,"","U_STNA","Unfall Stellungnahme SSUV","U_STNA","Unfall Stellungnahme SSUV","U_STNA","Unfall Stellungnahme SSUV","U_STNA","Unfall Stellungnahme SSUV","","","","","","","","","","","","","CT_U_STNA","0","",3000-01-01,"",""
1247,"1124",-9,2015-12-09 14:31:24.955322000,"P.-123901","",2015-12-09 09:57:20.286845000,"PMueller",2015-12-09 14:31:24.955322000,"PMueller","sbhaft","Selbstbehalt (Haft)","sbhaft","Selbstbehalt (Haft)","sbhaft","Selbstbehalt (Haft)","sbhaft","Selbstbehalt (Haft)","","","","","","","","","","","","","CT_VIVAO_MF_HAFT_SB","0","61",3000-01-01,"",""
1248,"1125",-9,2016-06-03 10:37:33.943087000,"P.-123901","",2015-12-09 10:07:29.748179000,"PMueller",2016-06-03 10:37:33.943087000,"FStofer","mietW","Mietwagendeckung","mietW","Mietwagendeckung","mietW","Mietwagendeckung","mietW","Mietwagendeckung","","","","","","","","","","","","","CT_VIVAO_MF_MIETWAGEND","0","61",3000-01-01,"",""
1249,"1126",-9,2016-06-03 10:37:33.935681000,"P.-123901","",2015-12-09 10:10:04.001992000,"PMueller",2016-06-03 10:37:33.935681000,"FStofer","althlk","Alter HauptlenkerIn","althlk","Alter HauptlenkerIn","althlk","Alter HauptlenkerIn","althlk","Alter HauptlenkerIn","","","","","","","","","","","","","CT_VIVAO_MF_ALTHLK","0","61",3000-01-01,"",""
-500,"-500",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Rund.","Rundungsregel","Rund.","Rounding rule","Rarron","Règle d'arrondi","Arrot","Regola d'arrotondamento","","Rundungsregel","","","","","","","","","","","Rundungsregel","1","",,"",""
-50855,"-50855",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RuReLo","Rundungsregel für die Lohnsummen","RoRuIT","Rounding rules for income total","RAMAS","Règle d'arrondi pour les masses salariales","ReArMS","Regola di arrotondamento per le masse salariali","","Rundungsregel für die Lohnsummen","","","","","","","","","","","RundungsregelProvLohnsumme","1","",,"",""
-50336,"-50336",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RundV","RundungsregelVertrag","RundV","Rounding rule Policy","Carr","ContratRègleArrondi","RundV","Contratto regola arrotondamento","","RundungsregelVertrag","","","","","","","","","","","RundungsregelVertrag","1","",,"",""
-1400,"-1400",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Defaul","Defaultcode","Defaul","Default code","Cdefau","Code par défaut","Defaul","Codice default","","Defaultcode","","","","","","","","","","","SADefaultCode","1","",,"",""
-1380,"-1380",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Franch","FranchisePflicht","Franch","Excess insurance liability","FrancO","Franchise obligatoire","Franch","Franchigia obbligatoria","","FranchisePflicht","","","","","","","","","","","SAFranPflicht","1","",,"",""
-1390,"-1390",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","Kosten","Kostenbeteiligungspflicht","Costs","Cost participation liability","Couts","Obligation de participations aux frais","Costi","Partecipazione ai costi obbligatoria","","Kostenbeteiligungspflicht","","","","","","","","","","","SAKoBePflicht","1","",,"",""
-1420,"-1420",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","KobePf","Kobe Pflicht stationär","KobePt","Kobe in-patient liability","PoCoSO","PoCo stationnaire obligatoire","PaCoob","PaCo obbligatoria in ospedale","","Kobe Pflicht stationär","","","","","","","","","","","SAKoBePflichtStat","1","",,"",""
-50794,"-50794",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","sapkst","SAP Kostenstellennummer","SAPCCN","SAP cost centre number","NCCSAP","Numéro du centre de coûts SAP","ccsap","Numero del centro di costo SAP","","SAP Kostenstellennummer","","","","","","","","","","","SAPKstNrFibu","1","",,"",""
-50793,"-50793",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","sapktr","SAP Kostenträgernummer","SAPCON","SAP cost object number","NOPSAP","Numéro de l'organisme payeur SAP","opsap","Numero dell'organismo pagante SAP","","SAP Kostenträgernummer","","","","","","","","","","","SAPKtrNrFibu","1","",,"",""
-50784,"-50784",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","sapses","SAP Session","SAPSES","SAP Session","SESSAP","Session SAP","sessap","Sessione SAP","","SAP Session","","","","","","","","","","","SAPSession","1","",,"",""
-1090,"-1090",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SG_Reg","SG_Region","SG_Reg","SG_Region","SG_Reg","SG_région","SG_Reg","SG_Regione","","SG_Region","","","","","","","","","","","SG_Region","1","",,"",""
-1060,"-1060",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SH_Reg","SH_Region","SH_Reg","SH_Region","SH_Reg","SH_région","SH_Reg","SH_Regione","","SH_Region","","","","","","","","","","","SH_Region","1","",,"",""
-50743,"-50743",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","PJSICH","Sichtbarkeitscode eines Prüfjournaleintrages","CJEVCd","Visibility code of a check journal entry","JEVIS","Code de visibilité d'une entrée jour. d'ex.","CVPOGI","Codice di visibilità di una posizione del giornale","","Sichtbarkeitscode eines Prüfjournaleintrages","","","","","","","","","","","SICHTBARKEIT_PRUEFJOURNAL","0","",,"",""
-2060,"-2060",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SICTei","SIC Teilnahme","SICPar","SIC participation","ParSIC","Participation SIC","ParSIC","Partecipazione a SIC","","SIC Teilnahme","","","","","","","","","","","SIC_Teilnahme","1","",,"",""
-50425,"-50425",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","sloplu","SLOPLus","sloplu","SLOPLus","sloplu","SLOPLus","sloplu","SLOPLus","","SLOPLus","","","","","","","","","","","SLOPlus","1","",,"",""
-9610,"-9610",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SOPEA","Erstellungsart Sammel-OP","SOPEA","Creation type of collective OP","EPOCOC","Genre d'établissement PoCo collectif","GAPOCO","Genere di allestimento PoCo collettive","","Erstellungsart Sammel-OP","","","","","","","","","","","SOPErstellArt","1","",,"",""
-50895,"-50895",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SOPOPT","Sammel-OP/OP","","","POCOCO","PoCo collectif/PoCo","SOCOLL","SO collettivo/SO","","Sammel-OP/OP","","","","","","","","","","","SOPOPTYP","1","",,"",""
-7910,"-7910",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","VerMah","Vererbung Mahnstufe","VerMah","Inheritance reminder level","DegRap","Transmettre le degré de rappel","RiclDi","Ricupero livello di diffida","","Vererbung Mahnstufe","","","","","","","","","","","SOPVererbungMahnstufe","1","",,"",""
-1080,"-1080",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","SO_Reg","SO_Region","SO_Reg","SO_Region","SO_Reg","SO_région","SO_Reg","SO_Regione","","SO_Region","","","","","","","","","","","SO_Region","1","",,"",""
-500069,"-500069",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","ExpSta","Exportstatus","ExpSta","Export status","ExpSta","Statut de l'exportation","StaEsp","Stato esportazione","","Exportstatus","","","","","","","","","","","SSUVExpStatus","1","",,"",""
1250,"1127",-9,2016-06-03 10:37:33.933764000,"P.-123901","",2015-12-09 10:23:08.895295000,"PMueller",2016-06-03 10:37:33.933764000,"FStofer","sexhlk","Geschlecht Hauptlenker","sexhlk","Geschlecht Hauptlenker","sexhlk","Geschlecht Hauptlenker","sexhlk","Geschlecht Hauptlenker","","","","","","","","","","","","","CT_VIVAO_MF_SEXHLK","0","61",3000-01-01,"",""
1251,"1128",-9,2016-06-03 10:37:33.931915000,"P.-123901","",2015-12-09 10:27:26.229138000,"PMueller",2016-06-03 10:37:33.931915000,"FStofer","halk","Halter ist Hauptlenker","halk","Halter ist Hauptlenker","halk","Halter ist Hauptlenker","halk","Halter ist Hauptlenker","","","","","","","","","","","","","CT_VIVAO_MF_HALK","0","61",3000-01-01,"",""
1252,"1129",-9,2016-06-03 10:37:33.929130000,"P.-123901","",2015-12-09 10:29:09.121274000,"PMueller",2016-06-03 10:37:33.929130000,"FStofer","sbvk","Selbstbehalt Vollkasko","sbvk","Selbstbehalt Vollkasko","sbvk","Selbstbehalt Vollkasko","sbvk","Selbstbehalt Vollkasko","","","","","","","","","","","","","CT_VIVAO_MFVK_SB","0","61",3000-01-01,"",""
1253,"1130",-9,2016-06-03 10:37:33.816248000,"P.-123901","",2015-12-09 10:34:29.078291000,"PMueller",2016-06-03 10:37:33.816248000,"FStofer","VI_KAP","Katalogpreis CHF (neupreis)","VI_KAP","Katalogpreis CHF (neupreis)","VI_KAP","Katalogpreis CHF (neupreis)","VI_KAP","Katalogpreis CHF (neupreis)","","","","","","","","","","","","","CT_VIVAO_MF_VK_KATALOGPREIS","0","61",3000-01-01,"",""
1254,"1131",-9,2016-06-03 10:37:33.814142000,"P.-123901","",2015-12-09 10:38:31.675898000,"PMueller",2016-06-03 10:37:33.814142000,"FStofer","berfah","Dienstfahrtenkasko (Berufsfahrten)","berfah","Dienstfahrtenkasko (Berufsfahrten)","berfah","Dienstfahrtenkasko (Berufsfahrten)","berfah","Dienstfahrtenkasko (Berufsfahrten)","","","","","","","","","","","","","CT_VIVAO_MF_BERUFSFAHRTEN","0","61",3000-01-01,"",""
1255,"1132",-9,2016-06-03 10:37:33.811898000,"P.-123901","",2015-12-09 10:48:30.540018000,"PMueller",2016-06-03 10:37:33.811898000,"FStofer","sbtk","Selbstbehalt Teilkasko","sbtk","Selbstbehalt Teilkasko","sbtk","Selbstbehalt Teilkasko","sbtk","Selbstbehalt Teilkasko","","","","","","","","","","","","","CT_VIVAO_MF_TK_SB","0","61",3000-01-01,"",""
1256,"1133",-9,2016-06-03 10:37:33.749588000,"P.-123901","",2015-12-09 10:59:21.112503000,"PMueller",2016-06-03 10:37:33.749588000,"FStofer","KprGar","Kaufpreisgarantie","KprGar","Kaufpreisgarantie","KprGar","Kaufpreisgarantie","KprGar","Kaufpreisgarantie","","","","","","","","","","","","","CT_VIVAO_MF_TK_KAUFPREISGARANTIE","0","61",3000-01-01,"",""
