"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","TARIFGRUPPETYP","TARIFGRPERSTELLER","TARIFGRUPPEART","QUALIPRUEFMOEGL","CODE","BESCHREIBUNGDT","BESCHREIBUNGEN","BESCHREIBUNGFR","BESCHREIBUNGIT","BESCHREIBUNG05","BESCHREIBUNG06","BESCHREIBUNG07","BESCHREIBUNG08","BESCHREIBUNG09","BESCHREIBUNG10","LASTMUTATION","TAEL_ID","REGINTERNGENERELL","TIMESEG","ARCHIVETAG","MDBID"
56,"56",-1083,2014-01-16 15:41:49.966814000,"B.108","",2014-01-16 15:41:49.966814000,2014-01-16 15:41:49.966814000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4.2","Einschleiftherapie","4.2","Einschleiftherapie","4.2","Traitement par meulage sélectif","4.2","Traitement par meulage sélectif","","","","","","","","","","","","","K_320_4.2","-10110","-49993","-63029","-62331","-10110","4.2","","","","","","","","","","",,7972974,"-62241",3000-01-01,"",""
57,"57",-1083,2014-01-16 15:41:50.031403000,"B.108","",2014-01-16 15:41:50.031403000,2014-01-16 15:41:50.031403000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4.3","Schienentherapie","4.3","Schienentherapie","4.3","Traitement par attelles occlusales","4.3","Traitement par attelles occlusales","","","","","","","","","","","","","K_320_4.3","-10110","-49993","-63029","-62331","-10110","4.3","","","","","","","","","","",,7972975,"-62241",3000-01-01,"",""
58,"58",-1083,2014-01-16 15:41:50.089247000,"B.108","",2014-01-16 15:41:50.089247000,2014-01-16 15:41:50.089247000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4.4","Physio- und physikalische Therapie","4.4","Physio- und physikalische Therapie","4.4","Physiothérapie et thérapie fonctionnelle","4.4","Physiothérapie et thérapie fonctionnelle","","","","","","","","","","","","","K_320_4.4","-10110","-49993","-63029","-62331","-10110","4.4","","","","","","","","","","",,7972976,"-62241",3000-01-01,"",""
59,"59",-1083,2014-01-16 15:41:50.143743000,"B.108","",2014-01-16 15:41:50.143743000,2014-01-16 15:41:50.143743000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4.5","Nachkontrolle","4.5","Nachkontrolle","4.5","Contrôles","4.5","Contrôles","","","","","","","","","","","","","K_320_4.5","-10110","-49993","-63029","-62331","-10110","4.5","","","","","","","","","","",,7972977,"-62241",3000-01-01,"",""
60,"60",-1083,2014-01-16 15:41:50.204425000,"B.108","",2014-01-16 15:41:50.204425000,2014-01-16 15:41:50.204425000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4","Dysfunktionen und Myoarthropathien (MAP)","4","Dysfunktionen und Myoarthropathien (MAP)","4","Dysfonctions et myoarthropathies (MAP)","4","Dysfonctions et myoarthropathies (MAP)","","","","","","","","","","","","","K_320_4","-10110","-49993","-63029","-62331","-10110","4","","","","","","","","","","",,7973577,"-62241",3000-01-01,"",""
61,"61",-1083,2014-01-16 15:41:50.277092000,"B.108","",2014-01-16 15:41:50.277092000,2014-01-16 15:41:50.277092000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.1","Zahnentfernungen","5.1","Zahnentfernungen","5.1","Extractions","5.1","Extractions","","","","","","","","","","","","","K_320_5.1","-10110","-49993","-63029","-62331","-10110","5.1","","","","","","","","","","",,7973578,"-62241",3000-01-01,"",""
62,"62",-1083,2014-01-16 15:41:50.364295000,"B.108","",2014-01-16 15:41:50.364295000,2014-01-16 15:41:50.364295000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.2","Chirurgische Eingriffe an Weichteilen","5.2","Chirurgische Eingriffe an Weichteilen","5.2","Interventions chirurgicales sur les tissus mous","5.2","Interventions chirurgicales sur les tissus mous","","","","","","","","","","","","","K_320_5.2","-10110","-49993","-63029","-62331","-10110","5.2","","","","","","","","","","",,7973579,"-62241",3000-01-01,"",""
63,"63",-1083,2014-01-16 15:41:50.452459000,"B.108","",2014-01-16 15:41:50.452459000,2014-01-16 15:41:50.452459000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.3","Chirurgische Eingriffe am Knochen","5.3","Chirurgische Eingriffe am Knochen","5.3","Interventions chirurgicales sur l'os","5.3","Interventions chirurgicales sur l'os","","","","","","","","","","","","","K_320_5.3","-10110","-49993","-63029","-62331","-10110","5.3","","","","","","","","","","",,7973580,"-62241",3000-01-01,"",""
64,"64",-1083,2014-01-16 15:41:50.526029000,"B.108","",2014-01-16 15:41:50.526029000,2014-01-16 15:41:50.526029000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.4","Implantation","5.4","Implantation","5.4","Implantation","5.4","Implantation","","","","","","","","","","","","","K_320_5.4","-10110","-49993","-63029","-62331","-10110","5.4","","","","","","","","","","",,7973581,"-62241",3000-01-01,"",""
65,"65",-1083,2014-01-16 15:41:50.584373000,"B.108","",2014-01-16 15:41:50.584373000,2014-01-16 15:41:50.584373000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.5","GTR (Guided Tissue Regeneration)-Chirurgie","5.5","GTR (Guided Tissue Regeneration)-Chirurgie","5.5","Chirurgie de régénération des tissus (GTR)","5.5","Chirurgie de régénération des tissus (GTR)","","","","","","","","","","","","","K_320_5.5","-10110","-49993","-63029","-62331","-10110","5.5","","","","","","","","","","",,7973582,"-62241",3000-01-01,"",""
66,"66",-1083,2014-01-16 15:41:50.647282000,"B.108","",2014-01-16 15:41:50.647282000,2014-01-16 15:41:50.647282000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"5.6","Behandlung der Kieferhöhle","5.6","Behandlung der Kieferhöhle","5.6","Traitement du sinus maxillaire","5.6","Traitement du sinus maxillaire","","","","","","","","","","","","","K_320_5.6","-10110","-49993","-63029","-62331","-10110","5.6","","","","","","","","","","",,7973583,"-62241",3000-01-01,"",""
81,"81",-1083,2014-01-16 15:41:51.604221000,"B.108","",2014-01-16 15:41:51.604221000,2014-01-16 15:41:51.604221000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"6.3.2","Offene Frakturbehandlung","6.3.2","Offene Frakturbehandlung","6.3.2","Traitement chirurgical de fractures ouvertes des maxillaires et des os de la face","6.3.2","Traitement chirurgical de fractures ouvertes des maxillaires et des os de la face","","","","","","","","","","","","","K_320_6.3.2","-10110","-49993","-63029","-62331","-10110","6.3.2","","","","","","","","","","",,7973598,"-62241",3000-01-01,"",""
82,"82",-1083,2014-01-16 15:41:51.662314000,"B.108","",2014-01-16 15:41:51.662314000,2014-01-16 15:41:51.662314000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"6.3","Frakturbehandlung","6.3","Frakturbehandlung","6.3","Traitement des fractures","6.3","Traitement des fractures","","","","","","","","","","","","","K_320_6.3","-10110","-49993","-63029","-62331","-10110","6.3","","","","","","","","","","",,7973599,"-62241",3000-01-01,"",""
83,"83",-1083,2014-01-16 15:41:51.727294000,"B.108","",2014-01-16 15:41:51.727294000,2014-01-16 15:41:51.727294000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"6.4","Zusätzliche Massnahmen","6.4","Zusätzliche Massnahmen","6.4","Mesures complémentaires","6.4","Mesures complémentaires","","","","","","","","","","","","","K_320_6.4","-10110","-49993","-63029","-62331","-10110","6.4","","","","","","","","","","",,7973600,"-62241",3000-01-01,"",""
84,"84",-1083,2014-01-16 15:41:51.800994000,"B.108","",2014-01-16 15:41:51.800994000,2014-01-16 15:41:51.800994000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"6.5","Osteosynthese","6.5","Osteosynthese","6.5","Ostéosynthèse","6.5","Ostéosynthèse","","","","","","","","","","","","","K_320_6.5","-10110","-49993","-63029","-62331","-10110","6.5","","","","","","","","","","",,7973601,"-62241",3000-01-01,"",""
